take a shower	I usually take a shower before breakfast.	принять душ
take a break	Let us take a break for ten minutes.	сделать перерыв
take care of	Can you take care of the dog tonight?	позаботиться о
take a nap	He likes to take a nap after lunch.	поспать днём
take it easy	Take it easy, there is no rush.	не напрягайся
make sense	That does not make sense to me.	иметь смысл
make a decision	We have to make a decision today.	принять решение
make sure	Make sure the door is locked.	убедиться
make progress	You are starting to make progress.	делать прогресс
make a mistake	Everyone can make a mistake sometimes.	сделать ошибку
get used to	It takes time to get used to the noise.	привыкнуть к
get rid of	I want to get rid of these old books.	избавиться от
get in touch	I will get in touch tomorrow morning.	связаться
get along with	I get along with everyone at work.	ладить с
get better at	You get better at it with practice.	становиться лучше в
look forward to	I look forward to seeing you again.	с нетерпением ждать
look after	Could you look after my plants?	присматривать за
look for	I need to look for my keys.	искать
look like	You look like your father.	выглядеть как, похоже что
look into	We will look into the problem.	разобраться в
about to	I was about to call you.	вот-вот собираться
supposed to	You are supposed to be here at nine.	должен по правилам
worth it	The trip was worth it.	стоить того
in charge of	She is in charge of the whole team.	ответственный за
aware of	I was not aware of the change.	в курсе, осведомлён о
keep in mind	Keep in mind that it closes early.	иметь в виду
keep track of	It is hard to keep track of the time.	следить за
keep going	You are almost done, keep going.	продолжать
keep an eye on	Keep an eye on the soup, please.	присматривать за
give up	Do not give up so quickly.	сдаваться
give it a try	Just give it a try once.	попробовать
give me a hand	Can you give me a hand with this?	помочь мне
come up with	We need to come up with a better plan.	придумать
come across	I sometimes come across old photos here.	случайно найти
come back	Please come back before dinner.	вернуться
end up	You will end up staying at home.	в итоге оказаться
figure out	I cannot figure out how it works.	разобраться
find out	I want to find out what happened.	выяснить
turn out	It can turn out to be much easier.	оказаться
work out	I hope everything will work out.	получаться, срабатывать
deal with	I will deal with it in the morning.	решать, иметь дело с
depend on	That will depend on the weather.	зависеть от
focus on	Try to focus on one thing.	сосредоточиться на
give it a thought	You should give it a thought.	задуматься об этом
on purpose	He did it on purpose.	специально
by accident	I deleted the file by accident.	случайно
at the same time	They arrived at the same time.	одновременно
in the meantime	In the meantime, read this page.	пока что, тем временем
as far as I know	As far as I know, it is closed.	насколько я знаю
just in case	Take an umbrella just in case.	на всякий случай
more or less	The work is more or less done.	более или менее
sooner or later	Sooner or later he will notice.	рано или поздно
for a while	I have not seen her for a while.	какое-то время
right away	I will do it right away.	сразу же
all of a sudden	All of a sudden the light went out.	внезапно
on my own	I finished it on my own.	самостоятельно
used to	I used to live near the river.	когда-то раньше
had better	You had better ask him first.	лучше бы
as soon as	Call me as soon as you arrive.	как только
no matter what	I will finish it no matter what.	несмотря ни на что
instead of	Walk instead of taking the bus.	вместо
such a	It was such a long day.	такой
a couple of	Give me a couple of minutes.	пара
plenty of	There is plenty of time left.	много, предостаточно
hardly ever	He hardly ever calls now.	почти никогда
pretty much	It is pretty much finished.	практически
kind of	I am kind of tired today.	вроде, немного
the other day	I saw him the other day.	недавно, на днях
in a row	He won three times in a row.	подряд
on time	The train arrived on time.	вовремя
