dzień dobry	Dzień dobry, chciałbym zamówić kawę.	добрый день
do widzenia	Do widzenia, do jutra!	до свидания
na razie	Na razie, zadzwonię wieczorem.	пока (при прощании)
do zobaczenia	Do zobaczenia w piątek!	до встречи
dziękuję bardzo	Dziękuję bardzo za pomoc.	большое спасибо
proszę bardzo	Proszę bardzo, to dla ciebie.	пожалуйста (в ответ)
nie ma za co	Nie ma za co, to drobiazg.	не за что
przepraszam za spóźnienie	Przepraszam za spóźnienie, autobus stał w korku.	извините за опоздание
jak się masz	Cześć, jak się masz?	как дела
wszystko w porządku	Spokojnie, wszystko w porządku.	всё в порядке
nic się nie stało	Nic się nie stało, nie martw się.	ничего не случилось
mam na imię	Mam na imię Anna, a ty?	меня зовут
miło mi cię poznać	Miło mi cię poznać.	приятно познакомиться
nie rozumiem	Przepraszam, nie rozumiem tego słowa.	я не понимаю
czy możesz powtórzyć	Czy możesz powtórzyć wolniej?	можешь повторить
mówię trochę po polsku	Mówię trochę po polsku.	я немного говорю по-польски
nie wiem	Nie wiem, gdzie są klucze.	не знаю
chyba tak	Chyba tak, ale muszę sprawdzić.	наверное, да
moim zdaniem	Moim zdaniem to dobry pomysł.	по-моему
muszę iść	Muszę iść, robi się późno.	мне надо идти
mam ochotę na	Mam ochotę na coś słodkiego.	мне хочется (чего-то)
nie mam czasu	Dzisiaj nie mam czasu, przepraszam.	у меня нет времени
mam pytanie	Mam pytanie do ciebie.	у меня вопрос
jestem zmęczony	Jestem zmęczony po całym dniu.	я устал
boli mnie głowa	Od rana boli mnie głowa.	у меня болит голова
czuję się dobrze	Dzisiaj czuję się dobrze.	я чувствую себя хорошо
idę do pracy	Codziennie idę do pracy pieszo.	иду на работу
wracam do domu	Wracam do domu około szóstej.	возвращаюсь домой
jadę autobusem	Jadę autobusem do centrum.	еду на автобусе
na piechotę	Wolę iść na piechotę.	пешком
ile to kosztuje	Przepraszam, ile to kosztuje?	сколько это стоит
płacę kartą	Płacę kartą, jeśli można.	плачу картой
poproszę rachunek	Poproszę rachunek, jesteśmy gotowi.	счёт, пожалуйста
